удачливая,спящие,выносливый,шутливое
усидчивая,брезгливая,торопливая,уродливая
сонливая,воющая,жующая,тающая
спящие,сопящие,любящие,журчащие
рычащие,трусливые,назойливые,недогадливые
драчливые,визгливые,заботливые,сопливые
выносливый,молчаливый,запасливый,пискливый
визжащий,ворчащий,шуршащий,лечащий
шутливое,горделивое,торопливое,уродливое
сонливое,любящее,журчащее,рычащее
визжащее,ворчащее,звучащее,пищащее
одиннадцать,двенадцать,тринадцать,четырнадцать
пятнадцать,шестнадцать,семнадцать,восемнадцать
синий,зелёный,коричневый,фиолетовый
параллелепипед, конус, сфера, тетраэдр
волан,ракетка,сетка,счёт
